seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),,,
172,24.59422766,10.42915579,30,8.494848633,-0.994116211,4.362866211,13.00964355,-21.73614502,-5.981445313,,,
173,25.15584656,10.44354101,30,8.393762207,1.55098877,3.32388916,-18.08319092,1.751708984,16.83349609,,,
174,23.44758908,10.46515999,30,8.424267578,1.14185791,4.962207031,1.837158203,-32.91931152,-11.68518066,,,
175,22.20734734,10.46515999,30,8.296264648,0.868505859,4.829418945,5.906677246,-8.908081055,-7.188415527,,,
176,24.73463239,10.46515999,30,7.908666992,-0.023925781,4.887438965,-4.24041748,2.381896973,-9.580993652,,,
177,25.01544184,10.48682848,30,8.268151855,0.677099609,5.779272461,-3.546142578,-20.77484131,-6.365966797,,,
178,28.57236154,10.48682848,30,8.660534668,0.453991699,4.646386719,3.524780273,-9.463500977,-3.546142578,,,
179,23.91560483,10.48682848,30,8.266955566,1.141259766,5.44251709,6.814575195,-15.80810547,-6.889343262,,,
180,22.06694261,10.49406232,30,7.981640625,0.757250977,5.824731445,5.393981934,19.74945068,1.559448242,,,
181,18.74403079,10.51579697,30,8.049230957,1.587475586,5.754150391,3.396606445,-3.834533691,-5.340576172,,,
182,23.70499774,10.50854656,30,7.66282959,1.141259766,5.691345215,12.41149902,-15.69061279,-11.46087646,,,
183,32.3866899,10.55213201,30,6.636413574,0.211743164,5.76192627,17.14324951,3.140258789,-25.70953369,,,
184,26.7705009,10.55941565,30,7.354785156,0.017346191,5.496350098,16.60919189,-24.22485352,-25.81634521,,,
185,30.91244029,10.58860579,30,7.900292969,-0.453991699,6.067578125,7.209777832,-6.15234375,-4.560852051,,,
186,32.26968596,10.56670484,30,7.459460449,-0.275744629,6.389978027,5.895996094,-6.184387207,-6.494140625,,,
187,32.3866899,10.58129991,30,7.488769531,-0.278735352,6.226086426,5.895996094,-6.825256348,-7.369995117,,,
188,28.68936548,10.56670484,30,7.66282959,0.013757324,6.307434082,7.369995117,-6.280517578,-6.590270996,,,
189,32.52709463,10.58129991,30,7.823730469,-0.529956055,6.238049316,-0.021362305,-15.14587402,2.200317383,,,
190,30.63163084,10.60323426,30,7.800402832,0.104675293,6.148327637,6.130981445,-6.141662598,-5.661010742,,,
191,32.1994836,10.58129991,30,7.945751953,-0.327185059,5.791235352,6.163024902,1.473999023,4.507446289,,,
192,29.36798831,10.60323426,30,7.66940918,0.339147949,5.998791504,8.427429199,-6.739807129,-8.299255371,,,
193,28.4553576,10.61055687,30,7.644287109,0.737512207,6.108850098,13.66119385,-3.578186035,-9.324645996,,,
194,31.00604344,10.62521884,30,7.367346191,-0.923535156,5.589660645,12.82806396,-10.70251465,-16.91894531,,,
195,27.56612768,10.65460991,30,8.663525391,0.473132324,4.734912109,25.04730225,-5.158996582,-11.94152832,,,
196,22.41795443,10.6767121,30,8.43503418,-0.209350586,5.041162109,-23.487854,-16.82281494,2.542114258,,,
197,23.72839853,10.68409073,30,10.14632568,0.419299316,1.370349121,32.82318115,-44.51904297,-0.833129883,,,
198,26.27908436,10.71366157,30,9.387878418,0.308044434,0.079553223,23.12469482,-22.996521,14.69726563,,,
199,49.89047895,10.75818723,30,10.18341064,-2.763427734,-0.844580078,-10.00823975,35.02349854,-7.412719727,,,
200,25.88127098,10.75075214,30,9.553564453,-1.640710449,0.348718262,7.220458984,34.93804932,0.149536133,,,
201,35.66280015,10.76562799,30,10.09129639,-1.665234375,-1.186120605,8.609008789,-31.54144287,-2.520751953,,,
202,8.120073263,10.76562799,30,9.106750488,-1.558764648,2.674304199,2.18963623,4.315185547,-4.870605469,,,
203,17.7845985,10.78798433,30,8.499633789,-1.246533203,3.169567871,-12.19787598,15.94696045,7.893371582,,,
204,14.48508746,10.79544781,30,8.286694336,1.138867188,4.917944336,-6.440734863,8.470153809,-9.70916748,,,
205,20.94370481,10.80291698,30,8.388977051,1.876977539,3.636120605,-4.454040527,-0.811767578,-3.503417969,,,
206,19.42265363,10.81787241,30,8.653955078,0.773999023,4.412512207,15.16723633,-5.693054199,-7.914733887,,,
207,22.51155758,10.84034835,30,7.268054199,0.093310547,6.968981934,20.64666748,13.45825195,-7.102966309,,,
208,27.3321198,10.84785176,30,8.958410645,2.169470215,5.667419434,-1.078796387,38.77258301,26.82037354,,,
209,22.79236703,10.86287575,30,7.257885742,1.321899414,5.943762207,5.14831543,0.480651855,-8.929443359,,,
210,25.0856442,10.84785176,30,7.719055176,-1.412219238,5.775683594,13.37280273,32.84454346,18.23272705,,,
211,23.28378356,10.84785176,30,5.587268066,-0.677697754,7.92421875,28.00598145,24.43847656,0.245666504,,,
212,15.21051188,10.87792266,30,5.688354492,-0.520385742,8.73470459,12.0803833,-72.17254639,-20.08056641,,,
213,9.26671185,10.88545472,30,4.847961426,2.435644531,7.004272461,44.34814453,-23.10333252,-35.01281738,,,
214,20.17147883,10.89299252,30,5.395861816,0.548498535,7.65625,-4.357910156,-13.74664307,-11.06567383,,,
215,21.31811741,10.93834019,30,7.75255127,-1.062902832,5.949145508,27.73895264,-39.91546631,-6.216430664,,,
216,15.14030951,10.93834019,30,6.988122559,-1.330871582,5.78046875,2.851867676,-1.773071289,10.86273193,,,
217,22.93277175,10.91564043,30,5.65246582,-1.241149902,9.133068848,-13.87481689,-21.76818848,-20.29418945,,,
218,22.37115285,10.91564043,30,6.671704102,-0.256005859,6.993505859,1.698303223,-13.47961426,-0.662231445,,,
219,22.18394655,10.93834019,30,7.283007813,0.081945801,6.462353516,6.8359375,-9.164428711,-1.142883301,,,
220,27.35552059,10.94591832,30,8.169458008,0.697436523,5.974865723,20.20874023,-28.7322998,-26.09405518,,,
221,15.04670636,10.94591832,30,6.367248535,0.836804199,6.80090332,11.00158691,30.21697998,14.30206299,,,
222,22.13714498,10.95350223,30,6.257189941,0.322998047,6.969580078,4.721069336,10.07232666,0.021362305,,,
223,20.07787568,10.9686874,30,6.381604004,0.570031738,6.968383789,-3.396606445,16.73736572,-11.49291992,,,
224,23.04977569,10.97628867,30,6.899597168,0.210546875,7.072460938,10.27526855,-30.68695068,-12.09106445,,,
225,18.27601504,10.9686874,30,6.424072266,1.216027832,7.949938965,-8.427429199,23.13537598,-2.029418945,,,
226,18.5334237,10.97628867,30,5.693737793,1.029406738,7.961303711,0.534057617,12.94555664,-9.132385254,,,
227,15.7253292,10.99912727,30,6.199169922,1.167578125,7.927807617,12.04833984,29.58679199,6.8359375,,,
228,16.52095598,10.9686874,30,5.927612305,1.609606934,8.171252441,7.220458984,-7.498168945,-6.002807617,,,
229,20.49908985,11.00675175,30,6.383996582,-0.653771973,7.296166992,-4.048156738,-72.57843018,-17.17529297,,,
230,18.62702685,10.99912727,30,7.226782227,1.338049316,6.790136719,18.13659668,27.37579346,1.04675293,,,
231,21.41172056,10.9915086,30,7.41340332,0.397167969,6.069372559,16.74804688,46.15325928,18.98040771,,,
232,24.336819,10.9915086,30,7.651464844,-0.721362305,5.09140625,1.025390625,-43.86749268,-17.60253906,,,
233,23.86880325,10.9915086,30,8.707788086,0.474926758,4.959216309,5.821228027,-16.54510498,-8.438110352,,,
234,20.4054867,11.00675175,30,9.028991699,0.712390137,5.03996582,8.010864258,-6.51550293,5.351257324,,,
235,25.4600568,11.03730785,30,7.689746094,1.126306152,5.769702148,12.82806396,-0.128173828,-7.049560547,,,
236,26.09187806,11.03730785,30,6.190795898,1.586279297,5.011254883,2.723693848,-89.75372314,-79.00848389,,,
