seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
300,62.76091208,11.11410694,30,-9.408215332,0.985742188,0.040673828,5.628967285,-2.723693848,-4.945373535
301,57.02771914,11.13726105,30,-9.906469727,0.773999023,0.113647461,6.451416016,-10.07232666,-9.783935547
302,54.8514459,11.13726105,30,-9.69173584,0.589770508,0.103479004,6.558227539,-4.133605957,-5.618286133
303,59.85921443,11.15272656,30,-9.509301758,0.80390625,0.415710449,4.496765137,-6.964111328,-4.78515625
304,64.07135618,11.15272656,30,-9.924414063,0.915161133,0.161499023,-0.608825684,7.252502441,-7.786560059
305,59.5316034,11.14499086,30,-9.635510254,0.948657227,0.320605469,6.088256836,-6.622314453,-4.656982422
306,58.50196875,11.17596908,30,-10.10385742,0.696838379,0.527563477,-2.210998535,-6.97479248,-9.143066406
307,58.29136166,11.16821567,30,-9.431542969,0.815270996,0.403747559,5.062866211,-11.32202148,-4.774475098
308,57.4723341,11.19149365,30,-9.914245605,0.840991211,0.553283691,3.23638916,-5.60760498,-6.739807129
309,64.56277271,11.19149365,30,-9.520666504,1.419995117,-0.525170898,11.17248535,-1.538085938,-3.09753418
310,57.87014749,11.21482492,30,-9.461450195,0.894824219,0.734521484,6.173706055,-9.559631348,-0.672912598
311,55.76407661,11.21482492,30,-9.871777344,1.217224121,0.426477051,4.496765137,-6.280517578,-3.161621094
312,58.19775851,11.22261387,30,-9.054711914,0.887646484,0.894824219,4.60357666,-5.661010742,-5.628967285
313,64.60957429,11.23040876,30,-9.726428223,1.546203613,-0.040673828,14.63317871,-3.567504883,-9.452819824
314,61.19305931,11.2382096,30,-9.721044922,1.000097656,0.64420166,7.722473145,-9.837341309,-8.651733398
315,58.24456009,11.26164781,30,-9.582275391,1.044360352,0.801513672,3.535461426,-13.07373047,-2.082824707
316,64.67977665,11.26164781,30,-10.00097656,1.282421875,-0.309838867,10.08300781,1.239013672,-7.818603516
317,58.01055221,11.26947247,30,-9.779064941,0.82244873,0.738110352,7.936096191,-13.55438232,-9.260559082
318,57.96375064,11.26947247,30,-9.472216797,0.916955566,1.188513184,-1.623535156,-6.547546387,-0.202941895
319,60.56123805,11.3008308,30,-9.365148926,1.108361816,0.586181641,3.898620605,-8.502197266,-3.770446777
320,60.70164278,11.3008308,30,-9.37232666,1.215429688,0.753063965,6.665039063,-9.666442871,-4.28314209
321,67.81548218,11.29298225,30,-9.505712891,0.919946289,0.279931641,4.635620117,-0.566101074,-6.33392334
322,62.92471759,11.3008308,30,-9.662426758,0.85534668,1.189709473,5.212402344,-4.689025879,-5.393981934
323,62.92471759,11.3008308,30,-9.651660156,0.836206055,0.895422363,8.288574219,-1.815795898,-6.8359375
324,65.28819713,11.32441237,30,-9.593640137,0.690856934,1.129296875,2.926635742,-7.647705078,-1.452636719
325,61.778079,11.30868533,30,-10.02370605,0.52277832,0.928320313,4.710388184,-0.469970703,-4.208374023
326,66.22422863,11.33228489,30,-9.450683594,1.056323242,0.234472656,3.247070313,-5.041503906,-1.965332031
