seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
65,54.07921991,11.00675175,30,4.441223145,-2.926123047,8.671899414,-31.57348633,0.160217285,-7.65838623
66,43.57226633,11.03730785,30,4.777380371,-1.100585938,8.621057129,10.74523926,-4.187011719,-8.555603027
67,49.58626871,11.06028615,30,4.316210938,-0.887646484,8.669506836,2.296447754,-2.41394043,-7.102966309
68,40.20255293,11.09100572,30,3.899304199,-0.509619141,9.318493652,16.20330811,3.450012207,-3.41796875
69,45.21032145,11.11410694,30,4.61348877,-1.778283691,8.409313965,20.68939209,10.83068848,-7.925415039
70,39.92174348,11.1218191,30,4.577001953,-0.805102539,9.033776855,7.829284668,-8.502197266,-7.946777344
71,37.79227181,11.16821567,30,4.865307617,-0.593359375,8.92611084,16.14990234,-16.45965576,-6.579589844
72,53.40059708,11.17596908,30,4.714575195,-2.286706543,8.298059082,-14.793396,-1.612854004,-2.435302734
73,39.6877356,11.21482492,30,4.985534668,-0.881066895,8.420080566,5.661010742,-8.641052246,-3.73840332
74,39.45372773,11.2382096,30,5.013049316,-0.782971191,8.737695313,28.12347412,-4.443359375,-5.201721191
75,37.16045055,11.26164781,30,4.699621582,0.176452637,8.595935059,-3.91998291,-1.036071777,-4.859924316
76,45.14011909,11.27730309,30,5.483789063,-2.004980469,8.009753418,38.64440918,-41.37878418,-17.72003174
77,43.19785373,11.3008308,30,4.548291016,-0.883459473,8.765808105,-2.862548828,-7.508850098,-0.512695313
78,39.94514426,11.32441237,30,4.42746582,-0.854150391,8.60670166,27.26898193,-6.451416016,-10.37139893
79,44.29769074,11.34804793,30,5.21940918,-1.230981445,8.585168457,-20.62530518,-0.32043457,6.568908691
80,43.6190679,11.36383502,30,5.79901123,-1.469042969,8.193981934,51.83563232,-23.06060791,2.072143555
81,48.93104666,11.38756083,30,4.169067383,-3.287402344,8.544494629,-21.15936279,-21.72546387,-0.897216797
82,46.19315453,11.41134095,30,4.359277344,-2.805895996,8.387182617,1.399230957,-16.24603271,-5.981445313
83,43.92327814,11.42722461,30,4.584179688,-1.938586426,8.869885254,-11.98425293,-7.70111084,2.55279541
84,43.54886554,11.41134095,30,4.221105957,-1.309936523,8.75982666,-0.971984863,-22.15270996,-6.355285645
85,42.63623483,11.44313249,30,4.236657715,-2.396765137,8.412304688,36.67907715,-19.90966797,-6.419372559
86,44.90611121,11.46703983,30,4.454980469,-1.58927002,8.323779297,-7.455444336,-3.535461426,2.680969238
87,37.16045055,11.46703983,30,4.911364746,-0.750671387,8.190991211,31.4239502,-3.866577148,-9.484863281
88,42.3086238,11.4910019,30,4.12779541,-1.227392578,8.865100098,-3.225708008,8.88671875,-3.620910645
89,44.90611121,11.50700709,30,5.029199219,-3.288000488,8.318994141,35.81390381,-18.20068359,4.058837891
90,45.04651594,11.53106066,30,5.205651855,-2.31661377,7.980444336,6.184387207,-4.881286621,-6.15234375
91,40.74077104,11.55516929,30,5.415002441,-1.343432617,8.536120605,11.28997803,2.670288086,-10.9588623
92,52.95598211,11.57933312,30,4.779174805,-2.061206055,8.438623047,-23.75488281,-8.34197998,-12.87078857
93,42.35542538,11.59547306,30,5.145239258,-2.538525391,8.221496582,29.21295166,-1.217651367,-8.203125
94,50.21808998,11.63593073,30,4.831811523,-3.380712891,8.232861328,-27.98461914,-3.802490234,-7.316589355
95,33.5099277,11.63593073,30,4.722351074,-1.259094238,8.426660156,19.98443604,-6.825256348,-15.81878662
96,6.505418925,11.66027944,30,4.833605957,-0.260192871,8.546887207,9.837341309,-5.992126465,-4.849243164
97,51.59873644,11.68468389,30,5.257092285,-3.548193359,8.386584473,-9.463500977,-29.33044434,11.8560791
98,33.76733636,11.69283112,30,5.917443848,-0.970788574,7.449890137,-19.8348999,-41.2612915,-9.869384766
99,37.18385134,11.7173101,30,5.269055176,-1.504931641,8.489465332,12.43286133,-16.40625,-11.14044189
100,30.11681351,11.73366054,30,5.131481934,-0.960620117,8.72154541,3.952026367,6.558227539,-5.928039551
101,26.30248515,11.74184511,30,4.367651367,-0.607116699,8.825024414,6.141662598,-6.280517578,-3.877258301
102,12.3556158,11.77464586,30,4.277929688,-0.119030762,8.75324707,10.86273193,-4.710388184,-5.436706543
103,51.73914116,11.79108377,30,5.227185059,-3.057116699,8.406921387,-32.84454346,-28.09143066,4.763793945
104,25.53025916,11.79931213,30,4.908972168,-0.537133789,8.75982666,5.885314941,-13.12713623,-8.609008789
105,49.51606635,11.79931213,30,4.426269531,-3.261083984,8.211328125,4.870605469,-16.84417725,-4.753112793
106,42.51923089,11.82403487,30,5.160192871,-2.566040039,8.643786621,7.679748535,-1.826477051,-2.253723145
107,47.57380099,11.84054813,30,4.203161621,-2.236462402,8.823828125,-21.67205811,-4.817199707,-1.826477051
108,46.28675768,11.85708659,30,4.925720215,-2.750866699,8.185009766,-55.78765869,-11.31134033,2.23236084
109,45.3039246,11.85708659,30,3.793432617,-2.92791748,8.385986328,-1.570129395,-11.36474609,-5.511474609
110,41.91081041,11.86536527,30,5.017834473,-3.929211426,8.353088379,3.55682373,-3.439331055,0.299072266
111,40.90457655,11.88194159,30,4.407128906,-2.889038086,8.639001465,-0.54473877,5.532836914,-5.137634277
112,43.36165924,11.90685349,30,4.253405762,-3.804199219,8.476904297,-26.00860596,-1.773071289,-3.610229492
113,38.07308126,11.9401581,30,5.07286377,-0.982751465,8.208337402,-27.51464844,-21.10595703,-8.032226563
114,30.07001194,11.9401581,30,5.273840332,-2.840588379,7.799206543,49.96643066,-18.58520508,-8.544921875
115,34.2587529,11.95684852,30,5.109350586,-1.153820801,8.354882813,5.757141113,-8.641052246,-4.859924316
116,33.36952298,11.98193191,30,4.926318359,-0.971386719,8.699414063,5.83190918,-7.028198242,-5.223083496
117,41.09178285,11.98193191,30,3.537426758,-4.614685059,9.516479492,10.30731201,4.400634766,2.563476563
118,47.7376065,12.00707272,30,3.249719238,-3.322094727,9.244921875,-23.17810059,-3.813171387,-4.42199707
119,34.77357023,12.04068335,30,4.063793945,-1.263879395,9.116320801,12.92419434,0.234985352,-11.41815186
120,42.8702427,12.04068335,30,5.00826416,-4.304846191,8.551074219,-4.411315918,-17.84820557,0.149536133
121,42.23842144,12.06595866,30,5.066882324,-1.650878906,8.194580078,-26.53198242,-7.15637207,-3.631591797
122,26.46629066,12.082841,30,5.044750977,-0.433056641,8.669506836,10.09368896,-8.299255371,-4.154968262
123,46.09955138,12.06595866,30,5.044152832,-2.374633789,8.354882813,-10.68115234,-3.535461426,0.234985352
124,28.03414343,12.10821282,30,4.720556641,-0.820056152,8.706591797,9.185791016,-7.818603516,-8.587646484
125,14.95310321,12.10821282,30,4.912561035,0.212341309,8.46015625,4.122924805,-6.867980957,-4.817199707
126,36.62223244,12.13364272,30,4.35748291,-1.360778809,8.947644043,6.707763672,-5.116271973,-3.460693359
127,30.28061903,12.13364272,30,4.256396484,-0.54251709,8.890222168,-1.260375977,-6.547546387,-7.284545898
128,31.14644816,12.14213229,30,4.699023438,0.397167969,7.927209473,-20.42236328,-23.98986816,2.766418457
129,33.53332849,12.15062832,30,4.91854248,-1.508520508,8.379406738,3.823852539,-6.504821777,-5.628967285
130,35.54579621,12.14213229,30,4.478308105,-1.541418457,8.893811035,1.313781738,-9.196472168,-4.443359375
131,51.45833171,12.17615533,30,3.604418945,-2.559460449,9.128881836,0.843811035,-15.89355469,-6.686401367
132,48.8608443,12.19320579,30,4.265966797,-2.497851563,8.730517578,7.861328125,-11.00158691,-7.743835449
133,41.63000096,12.17615533,30,4.809082031,-1.815966797,8.409313965,9.474182129,-7.327270508,-6.643676758
134,42.58943325,12.20174077,30,5.514294434,-1.133483887,7.643688965,52.75421143,1.837158203,-2.478027344
135,39.45372773,12.21028226,30,4.873083496,-1.665234375,8.687451172,1.132202148,14.65454102,-5.041503906
136,42.05121514,12.21883027,30,7.672998047,-1.467248535,5.540612793,3.033447266,-26.88446045,-8.993530273
137,43.87647656,12.21883027,60,6.925317383,-3.398657227,4.822241211,11.43951416,8.459472656,-8.737182617
138,40.13235056,12.23594583,60,2.524768066,0.723754883,9.073254395,24.31030273,9.837341309,-26.95922852
139,31.84847179,12.26166815,60,4.47890625,0.651379395,9.039160156,13.59710693,-5.191040039,-9.24987793
140,39.05591434,12.27884907,60,4.499841309,-1.000695801,8.439819336,25.74157715,10.37139893,-32.73773193
141,40.97477891,12.30466961,60,5.02800293,-1.041369629,8.083325195,-12.69989014,-30.13153076,5.233764648
142,44.53169861,12.32191613,60,5.138659668,-3.474621582,7.950537109,-28.07006836,-15.27404785,12.89215088
143,42.89364349,12.33054926,60,3.097790527,-0.999499512,9.223388672,-20.30487061,-5.500793457,-1.409912109
144,46.66117028,12.33054926,60,5.019628906,-1.76751709,7.467834473,23.27423096,3.941345215,-14.39819336
145,40.31955686,12.33918897,60,3.844873047,-2.20177002,9.409411621,5.928039551,48.47106934,7.669067383
146,40.48336238,12.33918897,60,3.836499023,-2.054626465,8.100073242,40.36407471,-8.630371094,-24.59869385
147,40.50676316,12.39985167,60,5.266064453,-2.338146973,8.217907715,38.56964111,-11.15112305,-26.86309814
148,36.22441905,12.38248643,60,5.245129395,-0.398962402,7.798010254,17.91229248,-0.18157959,-9.869384766
149,33.1355151,12.39116574,60,4.282714844,-0.093310547,8.958410645,17.66662598,-12.79602051,-6.568908691
150,32.90150723,12.39116574,60,4.274938965,0.506030273,8.853735352,15.44494629,14.27001953,-23.03924561
151,31.80167021,12.41724341,60,4.524365234,0.168676758,8.801696777,3.91998291,-5.981445313,-4.96673584
152,30.53802769,12.41724341,60,4.422680664,-0.232080078,8.90637207,17.22869873,5.169677734,-13.34075928
153,48.04181674,12.42594922,60,4.661938477,-2.065991211,8.321984863,-13.87481689,-9.06829834,5.554199219
154,32.22288439,12.44338077,60,4.108654785,0.064001465,8.882446289,36.60430908,9.826660156,-20.58258057
